alpha,penalty,loss,l1_ratio,warm_start,accuracy,precision,recall,f1,true-negative,false-negative,false-positive,true-positive
0.0001,l1,hinge,0.75,False,0.7,0.7,0.2153846153846154,0.32941176470588235,119,51,6,14
0.0001,l1,hinge,0.75,True,0.7578947368421053,0.7209302325581395,0.47692307692307695,0.5740740740740741,113,34,12,31
0.0001,l1,log,0.15,False,0.7368421052631579,0.7272727272727273,0.36923076923076925,0.4897959183673469,116,41,9,24
0.0001,l1,log,0.15,True,0.7421052631578947,0.6052631578947368,0.7076923076923077,0.6524822695035462,95,19,30,46
0.0001,l1,log,0.3,False,0.7368421052631579,0.7027027027027027,0.4,0.5098039215686274,114,39,11,26
0.0001,l1,log,0.3,True,0.7473684210526316,0.717948717948718,0.4307692307692308,0.5384615384615385,114,37,11,28
0.0001,l1,log,0.45,False,0.7473684210526316,0.639344262295082,0.6,0.619047619047619,103,26,22,39
0.0001,l1,log,0.45,True,0.7631578947368421,0.6923076923076923,0.5538461538461539,0.6153846153846154,109,29,16,36
0.0001,l1,log,0.6,False,0.7578947368421053,0.7317073170731707,0.46153846153846156,0.5660377358490567,114,35,11,30
0.0001,l1,log,0.6,True,0.7421052631578947,0.6142857142857143,0.6615384615384615,0.6370370370370371,98,22,27,43
0.0001,l1,log,0.75,False,0.7157894736842105,0.7894736842105263,0.23076923076923078,0.35714285714285715,121,50,4,15
0.0001,l1,log,0.75,True,0.7368421052631579,0.6923076923076923,0.4153846153846154,0.5192307692307692,113,38,12,27
0.0001,l1,modified_huber,0.15,False,0.7526315789473684,0.6551724137931034,0.5846153846153846,0.6178861788617886,105,27,20,38
0.0001,l1,modified_huber,0.15,True,0.7210526315789474,0.5666666666666667,0.7846153846153846,0.6580645161290322,86,14,39,51
0.0001,l1,modified_huber,0.3,False,0.7631578947368421,0.7272727272727273,0.49230769230769234,0.5871559633027523,113,33,12,32
0.0001,l1,modified_huber,0.3,True,0.6578947368421053,0.5,0.8307692307692308,0.6242774566473988,71,11,54,54
0.0001,l1,modified_huber,0.45,False,0.48947368421052634,0.3974358974358974,0.9538461538461539,0.5610859728506787,31,3,94,62
0.0001,l1,modified_huber,0.45,True,0.7631578947368421,0.7777777777777778,0.4307692307692308,0.5544554455445544,117,37,8,28
0.0001,l1,modified_huber,0.6,False,0.7157894736842105,0.5604395604395604,0.7846153846153846,0.6538461538461537,85,14,40,51
0.0001,l1,modified_huber,0.6,True,0.4,0.36,0.9692307692307692,0.5249999999999999,13,2,112,63
0.0001,l1,modified_huber,0.75,False,0.7631578947368421,0.6923076923076923,0.5538461538461539,0.6153846153846154,109,29,16,36
